시장,코드,종목명,현재가,등락률,시가총액,거래량,거래대금억원_추정,PER,ROE,점수
KOSPI,0151,RISE 코리아전략산업액티브,19690.0,2.18,2786.0,635584.0,125.1464896,,,5
KOSPI,091170,KODEX 은행,14515.0,0.17,5610.0,838891.0,121.76502865,,,5
KOSPI,461950,KODEX 2차전지핵심소재10,7360.0,1.1,2506.0,1646819.0,121.2058784,,,5
KOSPI,485540,KODEX 미국AI테크TOP10,17300.0,2.52,3348.0,676054.0,116.957342,,,5
KOSPI,484880,SOL 금융지주플러스고배당,20520.0,-0.97,3417.0,567905.0,116.534106,,,5
KOSPI,270810,RISE 코스닥150,18610.0,-2.16,4399.0,600735.0,111.7967835,,,5
KOSDAQ,281740,레이크머티리얼즈,18390.0,-3.67,12088.0,578129.0,106.3179231,157.18,5.8,5
KOSPI,244580,KODEX 바이오,11020.0,-2.86,2636.0,952655.0,104.982581,,,5
KOSPI,489030,PLUS 고배당주위클리커버드콜,7010.0,-0.78,3274.0,1457747.0,102.1880647,,,5
KOSPI,449180,KODEX 미국S&P500(H),16995.0,0.89,9322.0,563638.0,95.7902781,,,5
KOSDAQ,383310,에코프로에이치엔,31900.0,-1.24,6691.0,292153.0,93.196807,50.63,4.4,5
KOSPI,385560,RISE KIS국고채30년Enhanced,58330.0,2.73,8482.0,154844.0,90.3205052,,,5
KOSPI,446720,SOL 미국배당다우존스,14250.0,0.07,9975.0,598748.0,85.32159,,,5
KOSPI,092790,넥스틸,14710.0,-8.06,3825.0,567493.0,83.4782203,20.37,7.76,5
KOSPI,368590,RISE 미국나스닥100,33660.0,1.62,15820.0,244715.0,82.371069,,,5
KOSDAQ,112290,와이씨켐,13990.0,-4.11,2829.0,558422.0,78.1232378,40.55,9.88,5
KOSDAQ,200470,에이팩트,8600.0,-6.93,3643.0,875619.0,75.303234,62.77,8.33,5
KOSDAQ,452280,한선엔지니어링,27950.0,-0.71,5380.0,250725.0,70.0776375,240.95,14.04,5
KOSPI,105840,우진,20100.0,-3.13,4060.0,345510.0,69.44751,30.18,4.48,5
KOSPI,481060,KODEX 미국30년국채타겟커버드콜(합성 H),7795.0,0.65,8582.0,877179.0,68.37610305,,,5
KOSPI,0025,TIGER TDF2045 적격,12695.0,0.59,7141.0,538122.0,68.3145879,,,5
KOSPI,499790,GS피앤엘,43500.0,-3.12,8626.0,154859.0,67.363665,36.86,2.29,5
KOSPI,248070,솔루엠,20000.0,-1.72,9563.0,328014.0,65.6028,76.05,2.74,5
KOSPI,379780,RISE 미국S&P500,24750.0,1.12,15469.0,264673.0,65.5065675,,,5
KOSDAQ,036200,유니셈,10940.0,-7.52,3355.0,590774.0,64.6306756,32.27,3.81,5
KOSDAQ,046120,오르비텍,8200.0,-3.42,2776.0,764093.0,62.655626,16.4,1.34,5
KOSDAQ,0009,에임드바이오,34400.0,-5.75,22247.0,181678.0,62.497232,373.91,5.13,5
KOSPI,214980,KODEX 단기채권PLUS,114660.0,0.0,21064.0,52535.0,60.236631,,,5
KOSDAQ,474610,RF시스템즈,10530.0,-16.89,1507.0,543664.0,57.2478192,23.14,11.29,5
KOSDAQ,199820,제일일렉트릭,11800.0,-3.83,2622.0,482246.0,56.905028,39.6,4.28,5
KOSDAQ,041020,폴라리스오피스,4110.0,-1.32,2042.0,1372958.0,56.4285738,34.54,5.45,5
KOSPI,458760,TIGER 미국배당다우존스타겟커버드콜2호,11515.0,0.3,7283.0,477600.0,54.99564,,,5
KOSPI,272580,TIGER 단기채권액티브,56685.0,0.02,7841.0,95512.0,54.1409772,,,5
